,Temperature,Latitude,Longitude,Humidity,Wind Speed,Cloud,Country,Date,City
109,63.12,28.6585,-17.9182,69,7.0,75,ES,1637192422,los llanos de aridane
110,20.52,54.4815,53.471,97,2.17,97,RU,1637192422,oktyabrskiy
111,51.85,-41.8697,-73.8203,83,9.22,33,CL,1637192422,ancud
112,-6.03,71.6872,128.8694,96,2.39,100,RU,1637192423,tiksi
113,30.27,50.1001,-91.917,86,12.66,90,CA,1637192423,sioux lookout
114,72.7,-22.9661,-42.0278,90,28.48,99,BR,1637192423,arraial do cabo
115,63.37,31.6693,34.5715,69,2.17,2,IL,1637192423,ashqelon
116,79.0,5.8808,-10.0467,82,4.38,89,LR,1637192424,buchanan
117,79.23,18.217,-63.0578,83,10.36,75,AI,1637192424,the valley
118,43.27,55.3422,-131.6461,93,3.44,90,US,1637192424,ketchikan
119,29.16,47.9097,31.3196,68,5.55,46,UA,1637192425,arbuzynka
120,61.0,42.097,-79.2353,55,5.99,90,US,1637192219,jamestown
121,77.4,28.017,-97.5169,68,14.29,0,US,1637192425,san patricio
122,61.18,32.4487,-99.7331,35,3.0,1,US,1637192425,abilene
123,69.26,27.0377,14.4283,44,10.47,100,LY,1637192425,sabha
124,47.46,41.2835,-70.0995,69,14.97,1,US,1637192426,nantucket
125,75.06,3.6746,100.9867,92,3.85,36,MY,1637192426,sungai besar
126,35.11,66.6871,34.3429,98,9.62,100,RU,1637192426,umba
127,50.36,53.8679,-1.9066,90,11.99,81,GB,1637192205,keighley
128,41.38,41.8167,140.65,87,6.91,75,JP,1637192427,kamiiso
129,35.08,47.6666,-52.7314,87,13.8,90,CA,1637192427,torbay
130,11.23,60.5544,-151.2583,56,14.97,1,US,1637192427,kenai
131,72.93,10.2849,22.7882,29,5.35,12,CF,1637192428,birao
132,82.09,-0.6,73.0833,78,17.49,88,MV,1637192428,hithadhoo
133,16.03,70.4692,-68.5914,62,6.91,20,CA,1637192428,clyde river
134,75.58,-14.2667,50.1667,75,8.16,43,MG,1637192429,sambava
135,13.48,69.7008,170.3133,72,15.7,50,RU,1637192429,pevek
136,75.49,-20.4081,57.7,78,9.22,40,MU,1637192429,mahebourg
137,34.38,43.65,51.2,66,14.63,100,KZ,1637192429,aktau
138,84.7,-12.65,-73.9167,87,1.03,100,PE,1637192430,ayna
139,73.18,20.8624,92.3058,79,4.85,98,BD,1637192430,teknaf
140,-4.27,66.8333,70.8333,96,15.57,98,RU,1637192430,yar-sale
141,33.48,50.6789,156.125,65,10.92,95,RU,1637192431,severo-kurilsk
142,65.93,39.1834,-84.5333,68,3.0,75,US,1637192164,hamilton
143,-2.16,65.282,-126.8329,84,4.61,75,CA,1637192431,norman wells
144,58.57,40.5982,-124.1573,69,1.99,1,US,1637192431,fortuna
145,79.18,-11.3847,43.2844,75,12.84,6,KM,1637192432,mitsamiouli
146,64.6,-7.95,110.2833,81,2.8,100,ID,1637192432,bambanglipuro
147,55.54,5.75,38.9167,97,3.58,96,ET,1637192432,shakiso
148,80.42,19.7297,-155.09,86,11.5,40,US,1637192432,hilo
149,59.67,26.5667,76.3333,36,5.95,100,IN,1637192433,lalsot
150,64.11,30.4833,-115.95,73,8.28,4,MX,1637192433,san quintin
151,70.66,-21.3667,55.6167,74,9.71,50,RE,1637192433,saint-joseph
152,17.89,48.8125,103.5347,50,2.42,4,MN,1637192434,bulgan
153,74.95,-20.3297,-40.2925,92,5.99,75,BR,1637192301,vila velha
154,75.79,-34.5667,146.4,31,14.97,11,AU,1637192434,leeton
155,8.71,68.75,161.3,81,8.77,25,RU,1637192434,cherskiy
156,82.08,3.0707,172.7902,77,12.17,87,KI,1637192434,butaritari
157,85.03,15.85,-97.0667,70,6.91,1,MX,1637192435,puerto escondido
158,63.45,-26.7852,-60.4388,70,5.26,97,AR,1637192435,presidencia roque saenz pena
159,49.82,33.9911,-6.8401,93,3.44,2,MA,1637192318,rabat
160,73.36,-13.275,-50.1628,90,2.93,99,BR,1637192435,sao miguel do araguaia
161,76.68,1.7427,98.7792,79,2.84,80,ID,1637192436,sibolga
162,31.82,57.5517,29.9502,87,9.98,97,RU,1637192436,dedovichi
163,61.88,31.8913,-85.1455,80,0.0,1,US,1637192436,eufaula
164,28.51,36.6167,101.7667,42,3.49,6,CN,1637192437,xining
165,72.16,-14.4086,-56.4461,98,4.16,100,BR,1637192437,diamantino
166,61.34,-25.4,-70.4833,78,5.28,22,CL,1637192420,taltal
167,1.36,65.75,150.85,96,8.37,100,RU,1637192437,zyryanka
168,57.45,18.2164,42.5053,82,0.0,0,SA,1637192437,abha
169,10.4,66.1451,-65.7125,72,0.0,75,CA,1637192438,pangnirtung
170,3.83,64.8569,-147.8028,74,13.8,90,US,1637192438,college
171,86.67,-13.8833,167.55,70,4.61,40,VU,1637192438,sola
172,43.09,43.0833,0.6667,75,3.33,98,FR,1637192438,saint-gaudens
173,74.89,-10.8368,-65.3614,93,2.89,92,BO,1637192439,guayaramerin
174,30.36,64.2539,-15.2082,88,13.18,67,IS,1637192439,hofn
175,-3.03,77.484,-69.3632,72,6.73,0,GL,1637192439,qaanaaq
176,77.77,1.7471,40.0573,73,12.26,78,KE,1637192439,wajir
177,-5.82,70.6333,147.9167,100,7.31,94,RU,1637192440,chokurdakh
178,76.08,-20.2078,57.7625,71,13.67,25,MU,1637192440,quatre cocos
179,63.81,-27.7951,-64.2615,52,7.14,18,AR,1637192387,santiago del estero
180,38.89,68.3751,17.5988,98,4.36,97,NO,1637192440,beisfjord
181,43.99,52.9233,6.7931,91,11.23,98,NL,1637192441,borger
182,74.25,-34.5833,150.8552,61,4.0,7,AU,1637192441,flinders
183,59.13,-26.6481,15.1594,70,18.3,0,NA,1637192441,luderitz
184,46.81,54.0615,15.2648,90,17.74,93,PL,1637192441,trzebiatow
185,40.12,62.1564,-7.1664,87,4.61,90,FO,1637192442,vestmanna
186,63.14,-7.8447,-79.1469,81,6.06,100,PE,1637192442,chicama
187,82.45,-20.3167,118.5667,47,12.66,10,AU,1637192442,port hedland
188,15.91,58.5169,-117.136,100,6.91,75,CA,1637192443,high level
189,71.56,-8.9266,125.4092,54,2.91,67,TL,1637192443,airai
190,82.31,5.2052,-4.4146,80,9.95,58,CI,1637192443,jacqueville
191,65.34,-39.4556,173.8583,64,11.92,3,NZ,1637192443,opunake
192,51.33,37.8086,120.7508,72,7.2,0,CN,1637192444,dengzhou
193,64.72,39.9667,-83.0166,68,1.01,75,US,1637192444,franklin
194,75.13,-17.8833,15.0667,53,7.56,87,NA,1637192444,ongandjera
195,36.55,39.2667,141.8833,67,6.98,100,JP,1637192444,kamaishi
196,77.22,-18.3667,21.85,48,3.83,91,BW,1637192445,shakawe
197,54.91,-37.6167,-73.65,87,17.52,35,CL,1637192445,lebu
198,86.79,-8.145,159.5921,64,2.93,38,SB,1637192445,buala
199,81.32,6.8833,73.1,78,17.0,71,MV,1637192446,dhidhdhoo
200,76.23,-25.9653,32.5892,91,9.22,20,MZ,1637192446,maputo
201,62.8,-18.0056,-70.2483,68,10.36,75,PE,1637192446,tacna
202,72.37,-14.7972,-57.2881,98,2.89,100,BR,1637192446,nova olimpia
203,58.84,-33.8667,121.9,77,15.75,95,AU,1637192447,esperance
204,52.86,43.4198,-4.7549,71,7.61,86,ES,1637192447,llanes
205,66.6,31.6682,20.2521,40,8.16,96,LY,1637192447,suluq
206,59.65,17.4924,44.1277,33,1.83,0,SA,1637192447,najran
207,20.86,50.7214,136.6319,78,1.68,100,RU,1637192448,solnechnyy
208,83.08,-18.65,-173.9833,65,4.61,40,TO,1637192448,neiafu
209,66.25,-13.7,-76.2167,77,19.57,0,PE,1637192448,pisco
210,25.75,51.3223,42.7678,83,3.42,76,RU,1637192448,kamenka
211,77.41,-4.9408,122.5276,88,6.06,98,ID,1637192449,katobu
212,59.14,24.6877,46.7219,49,5.64,1,SA,1637192292,riyadh
213,34.5,40.4272,71.7189,55,6.91,75,UZ,1637192449,komsomolskiy
214,78.12,22.5206,-79.4669,85,16.04,100,CU,1637192449,caibarien
215,26.8,48.0056,91.6419,55,6.02,100,MN,1637192450,hovd
216,26.73,63.05,179.3167,71,23.4,100,RU,1637192450,beringovskiy
217,74.34,18.9048,-3.5265,15,7.0,97,ML,1637192450,araouane
218,80.65,8.4833,8.5167,55,3.2,10,NG,1637192450,lafia
219,80.2,-0.1934,-74.7819,64,2.37,100,CO,1637192451,puerto leguizamo
220,46.06,43.2686,-7.5406,79,8.05,99,ES,1637192451,bereda
221,-10.48,67.45,153.6833,99,6.33,96,RU,1637192451,srednekolymsk
